time,value
2022-08-05 07:20:00,91.3
2022-08-05 07:30:00,91.2
2022-08-05 07:40:00,89.5
2022-08-05 07:50:00,87.6
2022-08-05 08:00:00,86.8
2022-08-05 08:10:00,85.4
2022-08-05 08:20:00,84.2
2022-08-05 08:30:00,83.6
2022-08-05 08:40:00,81.8
2022-08-05 08:50:00,80.0
2022-08-05 09:00:00,80.2
2022-08-05 09:10:00,78.9
2022-08-05 09:20:00,79.9
2022-08-05 09:30:00,78.0
2022-08-05 09:40:00,78.2
2022-08-05 09:50:00,77.2
2022-08-05 10:00:00,77.7
2022-08-05 10:09:00,76.9
2022-08-05 10:19:00,75.1
2022-08-05 10:30:00,74.6
2022-08-05 10:40:00,74.7
2022-08-05 10:50:00,74.9
2022-08-05 11:00:00,73.6
2022-08-05 11:10:00,75.1
2022-08-05 11:20:00,75.4
2022-08-05 11:30:00,77.2
2022-08-05 11:40:00,76.2
2022-08-05 11:50:00,78.3
2022-08-05 12:00:00,78.4
2022-08-05 12:10:00,76.3
2022-08-05 12:20:00,76.3
2022-08-05 12:30:00,75.0
2022-08-05 12:40:00,78.0
2022-08-05 12:50:00,75.7
2022-08-05 13:00:00,79.0
2022-08-05 13:10:00,79.2
2022-08-05 13:20:00,78.9
2022-08-05 13:30:00,79.3
2022-08-05 13:40:00,80.3
2022-08-05 13:50:00,81.0
2022-08-05 14:00:00,81.5
2022-08-05 14:10:00,81.2
2022-08-05 14:20:00,81.2
2022-08-05 14:30:00,81.2
2022-08-05 14:40:00,80.3
2022-08-05 14:50:00,80.0
2022-08-05 15:00:00,80.8
2022-08-05 15:09:00,81.0
2022-08-05 15:20:00,81.6
2022-08-05 15:30:00,80.9
2022-08-05 15:40:00,83.3
2022-08-05 15:50:00,82.4
2022-08-05 16:00:00,82.8
2022-08-05 16:09:00,83.4
2022-08-05 16:20:00,85.0
2022-08-05 16:30:00,87.0
2022-08-05 16:40:00,83.6
2022-08-05 16:50:00,84.9
2022-08-05 17:00:00,84.8
2022-08-05 17:10:00,85.7
2022-08-05 17:20:00,86.7
2022-08-05 17:30:00,87.3
2022-08-05 17:40:00,87.8
2022-08-05 17:50:00,86.6
2022-08-05 18:00:00,88.0
2022-08-05 18:10:00,88.7
2022-08-05 18:20:00,87.7
2022-08-05 18:30:00,87.8
2022-08-05 18:40:00,87.2
2022-08-05 18:50:00,88.1
2022-08-05 19:00:00,88.8
2022-08-05 19:10:00,88.1
2022-08-05 19:20:00,88.6
2022-08-05 19:30:00,87.5
2022-08-05 19:40:00,88.4
2022-08-05 19:50:00,88.3
2022-08-05 20:00:00,87.9
2022-08-05 20:09:00,87.3
2022-08-05 20:19:00,88.8
2022-08-05 20:29:00,88.6
2022-08-05 20:40:00,88.2
2022-08-05 20:50:00,87.8
2022-08-05 21:00:00,88.1
2022-08-05 21:09:00,89.0
2022-08-05 21:19:00,89.0
2022-08-05 21:30:00,89.0
2022-08-05 21:40:00,88.3
2022-08-05 21:50:00,87.7
2022-08-05 22:00:00,88.7
2022-08-05 22:10:00,88.1
2022-08-05 22:20:00,88.5
2022-08-05 22:30:00,88.8
2022-08-05 22:40:00,90.8
2022-08-05 22:50:00,90.9
2022-08-05 23:00:00,90.6
2022-08-05 23:09:00,90.5
2022-08-05 23:19:00,89.9
2022-08-05 23:30:00,88.8
2022-08-05 23:40:00,89.6
2022-08-05 23:50:00,90.2
